city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Guipos,Baguitan,children 6-16 years old not attending school,28,17.7,35,26,9,10.6,14.8,5.8
Guipos,Balongating,children 6-12 years old not attending elementary,30,20.7,30,13,17,15.1,12.1,18.5
Guipos,Balongating,children 13-16 years old not attending high school,43,38.4,47,33,14,34.6,45.2,22.2
Guipos,Balongating,children 6-16 years old not attending school,28,14.1,30,16,14,9,8.9,9
Guipos,Canunan,children 6-12 years old not attending elementary,43,23.9,50,27,23,17.1,18.1,16
Guipos,Canunan,children 13-16 years old not attending high school,44,34.1,59,35,24,35.5,40.2,30.4
Guipos,Canunan,children 6-16 years old not attending school,32,14,39,28,11,8.5,11.9,4.9
Guipos,Dacsol,children 6-12 years old not attending elementary,9,15.3,9,4,5,8.6,7.3,10
Guipos,Dacsol,children 13-16 years old not attending high school,29,64.4,38,20,18,63.3,76.9,52.9
Guipos,Dacsol,children 6-16 years old not attending school,16,21.9,20,9,11,12.1,11.1,13.1
Guipos,Dagohoy,children 6-12 years old not attending elementary,20,30.8,21,10,11,22.1,17.9,28.2
Guipos,Dagohoy,children 13-16 years old not attending high school,22,51.2,28,18,10,47.5,58.1,35.7
Guipos,Dagohoy,children 6-16 years old not attending school,10,12.3,10,6,4,6.5,6.9,6
Guipos,Dalapang,children 6-12 years old not attending elementary,25,30.1,29,16,13,19.7,19.3,20.3
Guipos,Dalapang,children 13-16 years old not attending high school,49,72.1,65,43,22,67.7,84.3,48.9
Guipos,Dalapang,children 6-16 years old not attending school,35,32.4,49,31,18,20.2,23.1,16.5
Guipos,Datagan,children 6-12 years old not attending elementary,31,36.9,36,21,15,24.2,25,23.1
Guipos,Datagan,children 13-16 years old not attending high school,47,78.3,69,37,32,76.7,78.7,74.4
Guipos,Datagan,children 6-16 years old not attending school,36,37.9,52,24,28,21.8,18.3,25.9
Guipos,Poblacion (Guipos),children 6-12 years old not attending elementary,76,23.4,78,40,38,15.5,15.8,15.3
Guipos,Poblacion (Guipos),children 13-16 years old not attending high school,84,36.5,97,56,41,30.7,33.5,27.5
Guipos,Poblacion (Guipos),children 6-16 years old not attending school,53,13,64,35,29,7.8,8.3,7.3
Guipos,Guling,children 6-12 years old not attending elementary,45,26,51,28,23,18.1,19,17.2
Guipos,Guling,children 13-16 years old not attending high school,57,49.6,67,44,23,42.4,50.6,32.4
Guipos,Guling,children 6-16 years old not attending school,39,18.3,56,37,19,12.8,15.8,9.3
Guipos,Katipunan,children 6-12 years old not attending elementary,29,25.2,32,12,20,16.9,13.2,20.4
Guipos,Katipunan,children 13-16 years old not attending high school,48,55.2,64,33,31,52,63.5,43.7
Guipos,Katipunan,children 6-16 years old not attending school,30,21.3,41,23,18,13.1,16.1,10.7
Guipos,Lintum,children 6-12 years old not attending elementary,13,19.4,14,7,7,12.3,13.2,11.5
Guipos,Lintum,children 13-16 years old not attending high school,29,60.4,37,31,6,55.2,68.9,27.3
Guipos,Lintum,children 6-16 years old not attending school,27,31,31,24,7,17.1,24.5,8.4
Guipos,Litan,children 6-12 years old not attending elementary,16,28.1,17,7,10,18.3,15.2,21.3
