city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Bemposa,members 6-16 years old,90,67.2,185,109,76,30.2,33,27
Aurora,Bemposa,members 10 years old and above,134,100,446,234,212,72.9,70.9,75.2
Aurora,Bemposa,members of the labor force,132,98.5,303,165,138,49.5,50,48.9
Aurora,Cabilinan,population,175,-,864,432,432,100,50,50
Aurora,Cabilinan,average household size,5,-,-,-,-,-,-,-
Aurora,Cabilinan,children 0-5 years old,85,48.6,122,59,63,14.1,13.7,14.6
Aurora,Cabilinan,children 6-12 years old,82,46.9,140,68,72,16.2,15.7,16.7
Aurora,Cabilinan,members 13-16 years old,68,38.9,97,47,50,11.2,10.9,11.6
Aurora,Cabilinan,members 6-16 years old,103,58.9,237,115,122,27.4,26.6,28.2
Aurora,Cabilinan,members 10 years old and above,175,100,664,336,328,76.9,77.8,75.9
Aurora,Cabilinan,members of the labor force,173,98.9,330,203,127,38.2,47,29.4
Aurora,Campo Uno,population,252,-,1276,664,612,100,52,48
Aurora,Campo Uno,average household size,5,-,-,-,-,-,-,-
Aurora,Campo Uno,children 0-5 years old,108,42.9,159,87,72,12.5,13.1,11.8
Aurora,Campo Uno,children 6-12 years old,125,49.6,211,123,88,16.5,18.5,14.4
Aurora,Campo Uno,members 13-16 years old,97,38.5,142,67,75,11.1,10.1,12.3
Aurora,Campo Uno,members 6-16 years old,159,63.1,353,190,163,27.7,28.6,26.6
Aurora,Campo Uno,members 10 years old and above,252,100,996,505,491,78.1,76.1,80.2
Aurora,Campo Uno,members of the labor force,247,98,557,328,229,43.7,49.4,37.4
Aurora,Ceboneg,population,90,-,378,193,185,100,51.1,48.9
Aurora,Ceboneg,average household size,4,-,-,-,-,-,-,-
Aurora,Ceboneg,children 0-5 years old,36,40,56,26,30,14.8,13.5,16.2
Aurora,Ceboneg,children 6-12 years old,37,41.1,62,33,29,16.4,17.1,15.7
Aurora,Ceboneg,members 13-16 years old,30,33.3,40,22,18,10.6,11.4,9.7
Aurora,Ceboneg,members 6-16 years old,52,57.8,102,55,47,27,28.5,25.4
Aurora,Ceboneg,members 10 years old and above,90,100,285,147,138,75.4,76.2,74.6
Aurora,Ceboneg,members of the labor force,78,86.7,109,87,22,28.8,45.1,11.9
Aurora,Commonwealth,population,195,-,848,408,440,100,48.1,51.9
Aurora,Commonwealth,average household size,4,-,-,-,-,-,-,-
Aurora,Commonwealth,children 0-5 years old,71,36.4,100,40,60,11.8,9.8,13.6
Aurora,Commonwealth,children 6-12 years old,88,45.1,127,55,72,15,13.5,16.4
Aurora,Commonwealth,members 13-16 years old,75,38.5,101,52,49,11.9,12.7,11.1
Aurora,Commonwealth,members 6-16 years old,120,61.5,228,107,121,26.9,26.2,27.5
Aurora,Commonwealth,members 10 years old and above,194,99.5,674,338,336,79.5,82.8,76.4
Aurora,Commonwealth,members of the labor force,137,70.3,206,142,64,24.3,34.8,14.5
Aurora,Gubaan,population,378,-,1762,932,830,100,52.9,47.1
Aurora,Gubaan,average household size,5,-,-,-,-,-,-,-
Aurora,Gubaan,children 0-5 years old,185,48.9,281,155,126,15.9,16.6,15.2
Aurora,Gubaan,children 6-12 years old,198,52.4,326,159,167,18.5,17.1,20.1
Aurora,Gubaan,members 13-16 years old,146,38.6,207,110,97,11.7,11.8,11.7
Aurora,Gubaan,members 6-16 years old,239,63.2,533,269,264,30.2,28.9,31.8
Aurora,Gubaan,members 10 years old and above,376,99.5,1297,691,606,73.6,74.1,73
Aurora,Gubaan,members of the labor force,364,96.3,512,401,111,29.1,43,13.4
Aurora,Inasagan,population,130,-,621,307,314,100,49.4,50.6
Aurora,Inasagan,average household size,5,-,-,-,-,-,-,-
Aurora,Inasagan,children 0-5 years old,52,40,76,35,41,12.2,11.4,13.1
Aurora,Inasagan,children 6-12 years old,69,53.1,118,62,56,19,20.2,17.8
Aurora,Inasagan,members 13-16 years old,57,43.8,81,37,44,13,12.1,14
Aurora,Inasagan,members 6-16 years old,87,66.9,199,99,100,32,32.2,31.8
Aurora,Inasagan,members 10 years old and above,130,100,488,237,251,78.6,77.2,79.9
Aurora,Inasagan,members of the labor force,129,99.2,202,131,71,32.5,42.7,22.6
Aurora,Inroad,population,70,-,403,205,198,100,50.9,49.1
Aurora,Inroad,average household size,6,-,-,-,-,-,-,-
Aurora,Inroad,children 0-5 years old,38,54.3,65,30,35,16.1,14.6,17.7
Aurora,Inroad,children 6-12 years old,38,54.3,81,49,32,20.1,23.9,16.2
Aurora,Inroad,members 13-16 years old,29,41.4,40,19,21,9.9,9.3,10.6
Aurora,Inroad,members 6-16 years old,45,64.3,121,68,53,30,33.2,26.8
Aurora,Inroad,members 10 years old and above,70,100,291,148,143,72.2,72.2,72.2
Aurora,Inroad,members of the labor force,64,91.4,127,91,36,31.5,44.4,18.2
Aurora,Kahayagan East (Katipunan),population,190,-,843,412,431,100,48.9,51.1
Aurora,Kahayagan East (Katipunan),average household size,4,-,-,-,-,-,-,-
Aurora,Kahayagan East (Katipunan),children 0-5 years old,78,41.1,113,58,55,13.4,14.1,12.8
Aurora,Kahayagan East (Katipunan),children 6-12 years old,97,51.1,155,76,79,18.4,18.4,18.3
Aurora,Kahayagan East (Katipunan),members 13-16 years old,63,33.2,88,42,46,10.4,10.2,10.7
