city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Kumalarang,Boyugan West,children 6-12 years old,110,61.1,208,107,101,20.8,22,19.7
Kumalarang,Boyugan West,members 13-16 years old,67,37.2,92,44,48,9.2,9,9.4
Kumalarang,Boyugan West,members 6-16 years old,126,70,300,151,149,30,31,29
Kumalarang,Boyugan West,members 10 years old and above,180,100,706,347,359,70.5,71.3,70
Kumalarang,Boyugan West,members of the labor force,174,96.7,254,194,60,25.4,39.8,11.7
Kumalarang,Diplo,population,516,-,2228,1125,1098,100,50.5,49.3
Kumalarang,Diplo,average household size,4,-,-,-,-,-,-,-
Kumalarang,Diplo,children 0-5 years old,193,37.4,289,143,146,13,12.7,13.3
Kumalarang,Diplo,children 6-12 years old,224,43.4,359,176,183,16.1,15.6,16.7
Kumalarang,Diplo,members 13-16 years old,192,37.2,277,148,129,12.4,13.2,11.7
Kumalarang,Diplo,members 6-16 years old,292,56.6,636,324,312,28.5,28.8,28.4
Kumalarang,Diplo,members 10 years old and above,460,89.1,1743,882,861,78.2,78.4,78.4
Kumalarang,Diplo,members of the labor force,301,58.3,398,298,100,17.9,26.5,9.1
Kumalarang,Gawil,population,266,-,1039,553,486,100,53.2,46.8
Kumalarang,Gawil,average household size,4,-,-,-,-,-,-,-
Kumalarang,Gawil,children 0-5 years old,93,35,140,81,59,13.5,14.6,12.1
Kumalarang,Gawil,children 6-12 years old,114,42.9,209,117,92,20.1,21.2,18.9
Kumalarang,Gawil,members 13-16 years old,78,29.3,105,54,51,10.1,9.8,10.5
Kumalarang,Gawil,members 6-16 years old,131,49.2,314,171,143,30.2,30.9,29.4
Kumalarang,Gawil,members 10 years old and above,203,76.3,786,407,379,75.6,73.6,78
Kumalarang,Gawil,members of the labor force,201,75.6,258,220,38,24.8,39.8,7.8
Kumalarang,Gusom,population,101,-,637,333,303,100,52.3,47.6
Kumalarang,Gusom,average household size,6,-,-,-,-,-,-,-
Kumalarang,Gusom,children 0-5 years old,58,57.4,111,57,54,17.4,17.1,17.8
Kumalarang,Gusom,children 6-12 years old,67,66.3,130,67,63,20.4,20.1,20.8
Kumalarang,Gusom,members 13-16 years old,48,47.5,77,38,39,12.1,11.4,12.9
Kumalarang,Gusom,members 6-16 years old,77,76.2,207,105,102,32.5,31.5,33.7
Kumalarang,Gusom,members 10 years old and above,101,100,453,234,219,71.1,70.3,72.3
Kumalarang,Gusom,members of the labor force,99,98,151,112,39,23.7,33.6,12.9
Kumalarang,Kitaan Dagat,population,146,-,745,383,361,100,51.4,48.5
Kumalarang,Kitaan Dagat,average household size,5,-,-,-,-,-,-,-
Kumalarang,Kitaan Dagat,children 0-5 years old,83,56.8,134,74,60,18,19.3,16.6
Kumalarang,Kitaan Dagat,children 6-12 years old,80,54.8,158,74,84,21.2,19.3,23.3
Kumalarang,Kitaan Dagat,members 13-16 years old,57,39,88,46,42,11.8,12,11.6
Kumalarang,Kitaan Dagat,members 6-16 years old,96,65.8,246,120,126,33,31.3,34.9
Kumalarang,Kitaan Dagat,members 10 years old and above,145,99.3,513,262,251,68.9,68.4,69.5
Kumalarang,Kitaan Dagat,members of the labor force,144,98.6,182,160,22,24.4,41.8,6.1
Kumalarang,Limamawan,population,64,-,339,168,171,100,49.6,50.4
Kumalarang,Limamawan,average household size,5,-,-,-,-,-,-,-
Kumalarang,Limamawan,children 0-5 years old,25,39.1,39,15,24,11.5,8.9,14
Kumalarang,Limamawan,children 6-12 years old,34,53.1,73,37,36,21.5,22,21.1
Kumalarang,Limamawan,members 13-16 years old,31,48.4,49,19,30,14.5,11.3,17.5
Kumalarang,Limamawan,members 6-16 years old,38,59.4,122,56,66,36,33.3,38.6
Kumalarang,Limamawan,members 10 years old and above,63,98.4,269,138,131,79.4,82.1,76.6
Kumalarang,Limamawan,members of the labor force,63,98.4,103,84,19,30.4,50,11.1
Kumalarang,Mahayahay,population,114,-,594,302,290,100,50.8,48.8
Kumalarang,Mahayahay,average household size,5,-,-,-,-,-,-,-
Kumalarang,Mahayahay,children 0-5 years old,44,38.6,71,27,44,12,8.9,15.2
Kumalarang,Mahayahay,children 6-12 years old,65,57,123,70,53,20.7,23.2,18.3
Kumalarang,Mahayahay,members 13-16 years old,50,43.9,72,31,41,12.1,10.3,14.1
Kumalarang,Mahayahay,members 6-16 years old,81,71.1,195,101,94,32.8,33.4,32.4
Kumalarang,Mahayahay,members 10 years old and above,114,100,456,244,212,76.8,80.8,73.1
Kumalarang,Mahayahay,members of the labor force,114,100,144,132,12,24.2,43.7,4.1
Kumalarang,Pangi,population,141,-,719,373,346,100,51.9,48.1
Kumalarang,Pangi,average household size,5,-,-,-,-,-,-,-
Kumalarang,Pangi,children 0-5 years old,71,50.4,113,60,53,15.7,16.1,15.3
Kumalarang,Pangi,children 6-12 years old,79,56,135,72,63,18.8,19.3,18.2
Kumalarang,Pangi,members 13-16 years old,55,39,81,36,45,11.3,9.7,13
Kumalarang,Pangi,members 6-16 years old,89,63.1,216,108,108,30,29,31.2
Kumalarang,Pangi,members 10 years old and above,141,100,536,276,260,74.5,74,75.1
Kumalarang,Pangi,members of the labor force,130,92.2,161,136,25,22.4,36.5,7.2
Kumalarang,Poblacion,population,975,-,5123,2560,2561,100,50,50
Kumalarang,Poblacion,average household size,5,-,-,-,-,-,-,-
Kumalarang,Poblacion,children 0-5 years old,436,44.7,666,339,327,13,13.2,12.8
Kumalarang,Poblacion,children 6-12 years old,507,52,889,474,415,17.4,18.5,16.2
Kumalarang,Poblacion,members 13-16 years old,383,39.3,557,271,286,10.9,10.6,11.2
Kumalarang,Poblacion,members 6-16 years old,648,66.5,1446,745,701,28.2,29.1,27.4
Kumalarang,Poblacion,members 10 years old and above,972,99.7,3953,1956,1997,77.2,76.4,78
Kumalarang,Poblacion,members of the labor force,831,85.2,1114,837,277,21.7,32.7,10.8
Kumalarang,Picanan,population,356,-,1850,975,875,100,52.7,47.3
Kumalarang,Picanan,average household size,5,-,-,-,-,-,-,-
Kumalarang,Picanan,children 0-5 years old,182,51.1,279,150,129,15.1,15.4,14.7
Kumalarang,Picanan,children 6-12 years old,210,59,346,178,168,18.7,18.3,19.2
Kumalarang,Picanan,members 13-16 years old,157,44.1,215,102,113,11.6,10.5,12.9
Kumalarang,Picanan,members 6-16 years old,259,72.8,561,280,281,30.3,28.7,32.1
Kumalarang,Picanan,members 10 years old and above,354,99.4,1377,717,660,74.4,73.5,75.4
Kumalarang,Picanan,members of the labor force,271,76.1,332,289,43,17.9,29.6,4.9
Labangan,Bagalupa,population,178,-,844,454,390,100,53.8,46.2
Labangan,Bagalupa,average household size,5,-,-,-,-,-,-,-
Labangan,Bagalupa,children 0-5 years old,78,43.8,107,55,52,12.7,12.1,13.3
Labangan,Bagalupa,children 6-12 years old,90,50.6,147,82,65,17.4,18.1,16.7
Labangan,Bagalupa,members 13-16 years old,76,42.7,101,57,44,12,12.6,11.3
Labangan,Bagalupa,members 6-16 years old,115,64.6,248,139,109,29.4,30.6,27.9
Labangan,Bagalupa,members 10 years old and above,178,100,662,359,303,78.4,79.1,77.7
Labangan,Bagalupa,members of the labor force,167,93.8,248,194,54,29.4,42.7,13.8
Labangan,Balimbingan (West Luya),population,244,-,1125,584,541,100,51.9,48.1
Labangan,Balimbingan (West Luya),average household size,5,-,-,-,-,-,-,-
Labangan,Balimbingan (West Luya),children 0-5 years old,104,42.6,142,72,70,12.6,12.3,12.9
Labangan,Balimbingan (West Luya),children 6-12 years old,130,53.3,190,106,84,16.9,18.2,15.5
Labangan,Balimbingan (West Luya),members 13-16 years old,84,34.4,111,56,55,9.9,9.6,10.2
Labangan,Balimbingan (West Luya),members 6-16 years old,154,63.1,301,162,139,26.8,27.7,25.7
Labangan,Balimbingan (West Luya),members 10 years old and above,244,100,883,451,432,78.5,77.2,79.9
Labangan,Balimbingan (West Luya),members of the labor force,233,95.5,322,262,60,28.6,44.9,11.1
Labangan,Binayan,population,209,-,981,507,474,100,51.7,48.3
Labangan,Binayan,average household size,5,-,-,-,-,-,-,-
Labangan,Binayan,children 0-5 years old,93,44.5,142,70,72,14.5,13.8,15.2
Labangan,Binayan,children 6-12 years old,112,53.6,199,94,105,20.3,18.5,22.2
Labangan,Binayan,members 13-16 years old,84,40.2,112,65,47,11.4,12.8,9.9
Labangan,Binayan,members 6-16 years old,134,64.1,311,159,152,31.7,31.4,32.1
Labangan,Binayan,members 10 years old and above,209,100,719,381,338,73.3,75.1,71.3
Labangan,Binayan,members of the labor force,201,96.2,285,245,40,29.1,48.3,8.4
Labangan,Bokong,population,320,-,1544,808,736,100,52.3,47.7
Labangan,Bokong,average household size,5,-,-,-,-,-,-,-
Labangan,Bokong,children 0-5 years old,156,48.8,221,113,108,14.3,14,14.7
Labangan,Bokong,children 6-12 years old,159,49.7,235,127,108,15.2,15.7,14.7
Labangan,Bokong,members 13-16 years old,113,35.3,151,81,70,9.8,10,9.5
Labangan,Bokong,members 6-16 years old,199,62.2,386,208,178,25,25.7,24.2
Labangan,Bokong,members 10 years old and above,320,100,1179,611,568,76.4,75.6,77.2
Labangan,Bokong,members of the labor force,307,95.9,505,368,137,32.7,45.5,18.6
Labangan,Bulanit,population,308,-,1655,840,815,100,50.8,49.2
Labangan,Bulanit,average household size,5,-,-,-,-,-,-,-
Labangan,Bulanit,children 0-5 years old,176,57.1,282,137,145,17,16.3,17.8
Labangan,Bulanit,children 6-12 years old,168,54.5,317,163,154,19.2,19.4,18.9
Labangan,Bulanit,members 13-16 years old,112,36.4,161,78,83,9.7,9.3,10.2
Labangan,Bulanit,members 6-16 years old,199,64.6,478,241,237,28.9,28.7,29.1
Labangan,Bulanit,members 10 years old and above,308,100,1184,609,575,71.5,72.5,70.6
Labangan,Bulanit,members of the labor force,296,96.1,483,364,119,29.2,43.3,14.6
Labangan,Cogonan,population,290,-,1595,823,772,100,51.6,48.4
Labangan,Cogonan,average household size,6,-,-,-,-,-,-,-
Labangan,Cogonan,children 0-5 years old,174,60,292,152,140,18.3,18.5,18.1
Labangan,Cogonan,children 6-12 years old,178,61.4,366,190,176,22.9,23.1,22.8
Labangan,Cogonan,members 13-16 years old,124,42.8,180,87,93,11.3,10.6,12
Labangan,Cogonan,members 6-16 years old,201,69.3,546,277,269,34.2,33.7,34.8
Labangan,Cogonan,members 10 years old and above,290,100,1092,559,533,68.5,67.9,69
Labangan,Cogonan,members of the labor force,279,96.2,293,278,15,18.4,33.8,1.9
Labangan,Dalapang,population,327,-,1555,800,755,100,51.4,48.6
Labangan,Dalapang,average household size,5,-,-,-,-,-,-,-
Labangan,Dalapang,children 0-5 years old,174,53.2,291,155,136,18.7,19.4,18
Labangan,Dalapang,children 6-12 years old,143,43.7,232,119,113,14.9,14.9,15
Labangan,Dalapang,members 13-16 years old,91,27.8,119,57,62,7.7,7.1,8.2
Labangan,Dalapang,members 6-16 years old,181,55.4,351,176,175,22.6,22,23.2
Labangan,Dalapang,members 10 years old and above,327,100,1111,563,548,71.4,70.4,72.6
Labangan,Dalapang,members of the labor force,315,96.3,500,362,138,32.2,45.3,18.3
Labangan,Dipaya,population,162,-,726,378,348,100,52.1,47.9
Labangan,Dipaya,average household size,4,-,-,-,-,-,-,-
Labangan,Dipaya,children 0-5 years old,69,42.6,96,50,46,13.2,13.2,13.2
Labangan,Dipaya,children 6-12 years old,86,53.1,141,79,62,19.4,20.9,17.8
Labangan,Dipaya,members 13-16 years old,53,32.7,80,40,40,11,10.6,11.5
Labangan,Dipaya,members 6-16 years old,104,64.2,221,119,102,30.4,31.5,29.3
Labangan,Dipaya,members 10 years old and above,162,100,543,272,271,74.8,72,77.9
Labangan,Dipaya,members of the labor force,152,93.8,193,171,22,26.6,45.2,6.3
Labangan,Langapod,population,322,-,1502,765,737,100,50.9,49.1
Labangan,Langapod,average household size,5,-,-,-,-,-,-,-
Labangan,Langapod,children 0-5 years old,146,45.3,248,112,136,16.5,14.6,18.5
Labangan,Langapod,children 6-12 years old,165,51.2,295,153,142,19.6,20,19.3
Labangan,Langapod,members 13-16 years old,112,34.8,157,82,75,10.5,10.7,10.2
Labangan,Langapod,members 6-16 years old,191,59.3,452,235,217,30.1,30.7,29.4
Labangan,Langapod,members 10 years old and above,322,100,1083,566,517,72.1,74,70.1
Labangan,Langapod,members of the labor force,297,92.2,399,352,47,26.6,46,6.4
Labangan,Lantian,population,343,-,1626,837,789,100,51.5,48.5
Labangan,Lantian,average household size,5,-,-,-,-,-,-,-
Labangan,Lantian,children 0-5 years old,152,44.3,212,112,100,13,13.4,12.7
Labangan,Lantian,children 6-12 years old,187,54.5,300,156,144,18.5,18.6,18.3
Labangan,Lantian,members 13-16 years old,122,35.6,175,88,87,10.8,10.5,11
Labangan,Lantian,members 6-16 years old,228,66.5,475,244,231,29.2,29.2,29.3
Labangan,Lantian,members 10 years old and above,343,100,1259,641,618,77.4,76.6,78.3
Labangan,Lantian,members of the labor force,319,93,426,334,92,26.2,39.9,11.7
Labangan,Lower Campo Islam Poblacion,population,239,-,1206,594,612,100,49.3,50.7
Labangan,Lower Campo Islam Poblacion,average household size,5,-,-,-,-,-,-,-
Labangan,Lower Campo Islam Poblacion,children 0-5 years old,113,47.3,169,83,86,14,14,14.1
Labangan,Lower Campo Islam Poblacion,children 6-12 years old,122,51,196,103,93,16.3,17.3,15.2
Labangan,Lower Campo Islam Poblacion,members 13-16 years old,96,40.2,116,50,66,9.6,8.4,10.8
Labangan,Lower Campo Islam Poblacion,members 6-16 years old,151,63.2,312,153,159,25.9,25.8,26
Labangan,Lower Campo Islam Poblacion,members 10 years old and above,239,100,937,457,480,77.7,76.9,78.4
Labangan,Lower Campo Islam Poblacion,members of the labor force,218,91.2,305,228,77,25.3,38.4,12.6
Labangan,Lower Pulacan,population,271,-,1316,664,652,100,50.5,49.5
Labangan,Lower Pulacan,average household size,5,-,-,-,-,-,-,-
Labangan,Lower Pulacan,children 0-5 years old,106,39.1,148,85,63,11.2,12.8,9.7
Labangan,Lower Pulacan,children 6-12 years old,142,52.4,215,91,124,16.3,13.7,19
Labangan,Lower Pulacan,members 13-16 years old,102,37.6,134,72,62,10.2,10.8,9.5
Labangan,Lower Pulacan,members 6-16 years old,182,67.2,349,163,186,26.5,24.5,28.5
Labangan,Lower Pulacan,members 10 years old and above,271,100,1043,525,518,79.3,79.1,79.4
Labangan,Lower Pulacan,members of the labor force,253,93.4,416,300,116,31.6,45.2,17.8
Labangan,New Labangan,population,307,-,1547,788,759,100,50.9,49.1
Labangan,New Labangan,average household size,5,-,-,-,-,-,-,-
Labangan,New Labangan,children 0-5 years old,183,59.6,289,144,145,18.7,18.3,19.1
Labangan,New Labangan,children 6-12 years old,173,56.4,317,166,151,20.5,21.1,19.9
Labangan,New Labangan,members 13-16 years old,91,29.6,135,65,70,8.7,8.2,9.2
Labangan,New Labangan,members 6-16 years old,195,63.5,452,231,221,29.2,29.3,29.1
Labangan,New Labangan,members 10 years old and above,307,100,1062,545,517,68.6,69.2,68.1
Labangan,New Labangan,members of the labor force,283,92.2,356,294,62,23,37.3,8.2
Labangan,Noboran,population,248,-,1245,666,579,100,53.5,46.5
Labangan,Noboran,average household size,5,-,-,-,-,-,-,-
Labangan,Noboran,children 0-5 years old,119,48,181,100,81,14.5,15,14
Labangan,Noboran,children 6-12 years old,137,55.2,265,144,121,21.3,21.6,20.9
Labangan,Noboran,members 13-16 years old,92,37.1,131,66,65,10.5,9.9,11.2
Labangan,Noboran,members 6-16 years old,153,61.7,396,210,186,31.8,31.5,32.1
Labangan,Noboran,members 10 years old and above,248,100,922,498,424,74.1,74.8,73.2
Labangan,Noboran,members of the labor force,244,98.4,406,337,69,32.6,50.6,11.9
Lakewood,Baking,population,255,-,1407,731,676,100,52,48
Lakewood,Baking,average household size,6,-,-,-,-,-,-,-
Lakewood,Baking,children 0-5 years old,131,51.4,218,115,103,15.5,15.7,15.2
Lakewood,Baking,children 6-12 years old,141,55.3,284,154,130,20.2,21.1,19.2
Lakewood,Baking,members 13-16 years old,113,44.3,169,80,89,12,10.9,13.2
Lakewood,Baking,members 6-16 years old,164,64.3,453,234,219,32.2,32,32.4
Lakewood,Baking,members 10 years old and above,254,99.6,1035,525,510,73.6,71.8,75.4
Lakewood,Baking,members of the labor force,186,72.9,223,185,38,15.8,25.3,5.6
Lakewood,Bagong Kahayag,population,336,-,1702,871,830,100,51.2,48.8
Lakewood,Bagong Kahayag,average household size,5,-,-,-,-,-,-,-
Lakewood,Bagong Kahayag,children 0-5 years old,149,44.3,229,118,111,13.5,13.5,13.4
Lakewood,Bagong Kahayag,children 6-12 years old,186,55.4,303,164,139,17.8,18.8,16.7
Lakewood,Bagong Kahayag,members 13-16 years old,150,44.6,207,106,101,12.2,12.2,12.2
Lakewood,Bagong Kahayag,members 6-16 years old,231,68.8,510,270,240,30,31,28.9
Lakewood,Bagong Kahayag,members 10 years old and above,336,100,1318,673,645,77.4,77.3,77.7
Lakewood,Bagong Kahayag,members of the labor force,327,97.3,445,361,84,26.1,41.4,10.1
Lakewood,Biswangan,population,217,-,1120,581,539,100,51.9,48.1
Lakewood,Biswangan,average household size,5,-,-,-,-,-,-,-
Lakewood,Biswangan,children 0-5 years old,116,53.5,178,91,87,15.9,15.7,16.1
Lakewood,Biswangan,children 6-12 years old,125,57.6,242,123,119,21.6,21.2,22.1
Lakewood,Biswangan,members 13-16 years old,77,35.5,101,45,56,9,7.7,10.4
Lakewood,Biswangan,members 6-16 years old,141,65,343,168,175,30.6,28.9,32.5
Lakewood,Biswangan,members 10 years old and above,217,100,812,421,391,72.5,72.5,72.5
Lakewood,Biswangan,members of the labor force,210,96.8,270,222,48,24.1,38.2,8.9
Lakewood,Bululawan,population,243,-,1113,552,558,100,49.6,50.1
Lakewood,Bululawan,average household size,5,-,-,-,-,-,-,-
Lakewood,Bululawan,children 0-5 years old,86,35.4,122,63,59,11,11.4,10.6
Lakewood,Bululawan,children 6-12 years old,117,48.1,171,89,82,15.4,16.1,14.7
Lakewood,Bululawan,members 13-16 years old,105,43.2,145,68,77,13,12.3,13.8
Lakewood,Bululawan,members 6-16 years old,160,65.8,316,157,159,28.4,28.4,28.5
Lakewood,Bululawan,members 10 years old and above,243,100,910,450,460,81.8,81.5,82.4
Lakewood,Bululawan,members of the labor force,235,96.7,331,261,70,29.7,47.3,12.5
Lakewood,Dagum,population,129,-,643,326,317,100,50.7,49.3
Lakewood,Dagum,average household size,5,-,-,-,-,-,-,-
Lakewood,Dagum,children 0-5 years old,55,42.6,93,51,42,14.5,15.6,13.2
Lakewood,Dagum,children 6-12 years old,72,55.8,139,65,74,21.6,19.9,23.3
Lakewood,Dagum,members 13-16 years old,46,35.7,72,34,38,11.2,10.4,12
Lakewood,Dagum,members 6-16 years old,85,65.9,211,99,112,32.8,30.4,35.3
Lakewood,Dagum,members 10 years old and above,129,100,474,240,234,73.7,73.6,73.8
Lakewood,Dagum,members of the labor force,124,96.1,170,153,17,26.4,46.9,5.4
Lakewood,Gasa,population,99,-,472,247,225,100,52.3,47.7
Lakewood,Gasa,average household size,5,-,-,-,-,-,-,-
Lakewood,Gasa,children 0-5 years old,48,48.5,66,43,23,14,17.4,10.2
Lakewood,Gasa,children 6-12 years old,47,47.5,99,44,55,21,17.8,24.4
Lakewood,Gasa,members 13-16 years old,41,41.4,54,24,30,11.4,9.7,13.3
Lakewood,Gasa,members 6-16 years old,62,62.6,153,68,85,32.4,27.5,37.8
Lakewood,Gasa,members 10 years old and above,99,100,344,176,168,72.9,71.3,74.7
Lakewood,Gasa,members of the labor force,86,86.9,139,109,30,29.4,44.1,13.3
Lakewood,Gatub,population,210,-,1045,549,495,100,52.5,47.4
Lakewood,Gatub,average household size,5,-,-,-,-,-,-,-
Lakewood,Gatub,children 0-5 years old,87,41.4,141,61,80,13.5,11.1,16.2
Lakewood,Gatub,children 6-12 years old,105,50,196,115,81,18.8,20.9,16.4
Lakewood,Gatub,members 13-16 years old,72,34.3,102,52,50,9.8,9.5,10.1
Lakewood,Gatub,members 6-16 years old,131,62.4,298,167,131,28.5,30.4,26.5
Lakewood,Gatub,members 10 years old and above,209,99.5,794,428,366,76,78,73.9
Lakewood,Gatub,members of the labor force,196,93.3,271,222,49,25.9,40.4,9.9
Lakewood,Poblacion (Lakewood),population,827,-,4278,2166,2111,100,50.6,49.3
Lakewood,Poblacion (Lakewood),average household size,5,-,-,-,-,-,-,-
Lakewood,Poblacion (Lakewood),children 0-5 years old,410,49.6,608,313,295,14.2,14.5,14
Lakewood,Poblacion (Lakewood),children 6-12 years old,471,57,834,419,415,19.5,19.3,19.7
Lakewood,Poblacion (Lakewood),members 13-16 years old,338,40.9,465,223,242,10.9,10.3,11.5
Lakewood,Poblacion (Lakewood),members 6-16 years old,563,68.1,1299,642,657,30.4,29.6,31.1
Lakewood,Poblacion (Lakewood),members 10 years old and above,827,100,3214,1626,1588,75.1,75.1,75.2
Lakewood,Poblacion (Lakewood),members of the labor force,800,96.7,1126,850,276,26.3,39.2,13.1
Lakewood,Lukuan,population,73,-,356,174,181,100,48.9,50.8
Lakewood,Lukuan,average household size,5,-,-,-,-,-,-,-
Lakewood,Lukuan,children 0-5 years old,35,47.9,51,23,28,14.3,13.2,15.5
Lakewood,Lukuan,children 6-12 years old,38,52.1,71,37,34,19.9,21.3,18.8
Lakewood,Lukuan,members 13-16 years old,29,39.7,42,25,17,11.8,14.4,9.4
Lakewood,Lukuan,members 6-16 years old,48,65.8,113,62,51,31.7,35.6,28.2
Lakewood,Lukuan,members 10 years old and above,73,100,260,129,131,73,74.1,72.4
Lakewood,Lukuan,members of the labor force,66,90.4,84,69,15,23.6,39.7,8.3
Lakewood,Matalang,population,104,-,587,298,289,100,50.8,49.2
Lakewood,Matalang,average household size,6,-,-,-,-,-,-,-
Lakewood,Matalang,children 0-5 years old,70,67.3,133,59,74,22.7,19.8,25.6
Lakewood,Matalang,children 6-12 years old,60,57.7,118,56,62,20.1,18.8,21.5
Lakewood,Matalang,members 13-16 years old,51,49,78,41,37,13.3,13.8,12.8
Lakewood,Matalang,members 6-16 years old,72,69.2,196,97,99,33.4,32.6,34.3
Lakewood,Matalang,members 10 years old and above,104,100,387,208,179,65.9,69.8,61.9
Lakewood,Matalang,members of the labor force,62,59.6,67,60,7,11.4,20.1,2.4
Lakewood,Sapang Pinoles,population,115,-,595,302,293,100,50.8,49.2
Lakewood,Sapang Pinoles,average household size,5,-,-,-,-,-,-,-
Lakewood,Sapang Pinoles,children 0-5 years old,58,50.4,93,41,52,15.6,13.6,17.7
Lakewood,Sapang Pinoles,children 6-12 years old,70,60.9,118,59,59,19.8,19.5,20.1
Lakewood,Sapang Pinoles,members 13-16 years old,43,37.4,63,39,24,10.6,12.9,8.2
Lakewood,Sapang Pinoles,members 6-16 years old,78,67.8,181,98,83,30.4,32.5,28.3
Lakewood,Sapang Pinoles,members 10 years old and above,115,100,436,223,213,73.3,73.8,72.7
Lakewood,Sapang Pinoles,members of the labor force,113,98.3,153,120,33,25.7,39.7,11.3
Lakewood,Sebuguey,population,82,-,442,248,194,100,56.1,43.9
Lakewood,Sebuguey,average household size,5,-,-,-,-,-,-,-
Lakewood,Sebuguey,children 0-5 years old,49,59.8,92,53,39,20.8,21.4,20.1
Lakewood,Sebuguey,children 6-12 years old,45,54.9,85,55,30,19.2,22.2,15.5
Lakewood,Sebuguey,members 13-16 years old,34,41.5,48,23,25,10.9,9.3,12.9
Lakewood,Sebuguey,members 6-16 years old,53,64.6,133,78,55,30.1,31.5,28.4
Lakewood,Sebuguey,members 10 years old and above,82,100,298,163,135,67.4,65.7,69.6
Lakewood,Sebuguey,members of the labor force,82,100,119,103,16,26.9,41.5,8.2
Lakewood,Tiwales,population,115,-,594,303,291,100,51,49
Lakewood,Tiwales,average household size,5,-,-,-,-,-,-,-
Lakewood,Tiwales,children 0-5 years old,69,60,132,64,68,22.2,21.1,23.4
Lakewood,Tiwales,children 6-12 years old,61,53,132,69,63,22.2,22.8,21.6
Lakewood,Tiwales,members 13-16 years old,39,33.9,59,28,31,9.9,9.2,10.7
Lakewood,Tiwales,members 6-16 years old,70,60.9,191,97,94,32.2,32,32.3
Lakewood,Tiwales,members 10 years old and above,115,100,392,200,192,66,66,66
Lakewood,Tiwales,members of the labor force,114,99.1,223,118,105,37.5,38.9,36.1
Lakewood,Tubod,population,573,-,2848,1467,1381,100,51.5,48.5
Lakewood,Tubod,average household size,5,-,-,-,-,-,-,-
Lakewood,Tubod,children 0-5 years old,239,41.7,350,169,181,12.3,11.5,13.1
Lakewood,Tubod,children 6-12 years old,305,53.2,545,280,265,19.1,19.1,19.2
Lakewood,Tubod,members 13-16 years old,230,40.1,318,147,171,11.2,10,12.4
Lakewood,Tubod,members 6-16 years old,371,64.7,863,427,436,30.3,29.1,31.6
Lakewood,Tubod,members 10 years old and above,573,100,2197,1145,1052,77.1,78.1,76.2
Lakewood,Tubod,members of the labor force,493,86,726,540,186,25.5,36.8,13.5
